place_id,name,address,area,category,lat,lng,phone,google_maps_url,is_verified,created_by
ChIJy9d2neqZHGARwFeYOT6KszA,"柚木元","日本、〒395-0086 長野県飯田市東和町１丁目９−３",飯田市,飲食,35.5192646,137.8233077,0265-23-5210,https://maps.google.com/?cid=3509300534510639040,true,api
ChIJgUdApgijHGAROOJLS1ux0ks,"玉のゆ","日本、〒395-0304 長野県下伊那郡阿智村智里３９５",阿智村,飲食,35.4570662,137.7142846,0265-43-2880,https://maps.google.com/?cid=5463624303617237560,true,api
ChIJ_UE0ooiQHGARv8rHH7mUiRI,"トラットリア・アンジャーネ","日本、〒399-3107 長野県下伊那郡高森町出原１６４−２",下伊那郡,飲食,35.5690474,137.878447,0265-35-6290,https://maps.google.com/?cid=1335762287315110591,true,api
ChIJRaBBki6aHGARRmyHTLdLqlk,"幸楽苑 飯田上郷店","日本、〒395-0002 長野県飯田市上郷飯沼２２２３−１ 2223番地1",飯田市,飲食,35.5165867,137.8494365,0265-21-4310,https://maps.google.com/?cid=6461059866051439686,true,api
ChIJseDHy2qaHGAR0pxCVT-KZRI,"かじか","日本、〒395-0001 長野県飯田市座光寺３３３３−２",飯田市,飲食,35.5362236,137.8627277,0120-535-432,https://maps.google.com/?cid=1325617669948480722,true,api
ChIJubLN3q-ZHGARyaUdIeTBf9g,"とんかつ しゃぶしゃぶ ３びきのこぶた","日本、〒395-0805 長野県飯田市鼎一色４９−１",飯田市,飲食,35.5037881,137.8115806,0265-52-5355,https://maps.google.com/?cid=15600400819786982857,true,api
ChIJ-5MqfNSbHGARw7_C2vIR_CU,"ロカンディーナミヤザワ","日本、〒395-0003 長野県飯田市上郷別府１４０３−１",飯田市,飲食,35.50791,137.847436,0265-49-8195,https://maps.google.com/?cid=2737082408284372931,true,api
ChIJLxsF3QqYHGARuhmkQVWk9Zk,"陸右ヱ門","日本、〒395-0244 長野県飯田市山本６７２４−９８１",飯田市,飲食,35.4943656,137.7657288,0265-25-0037,https://maps.google.com/?cid=11093953943177533882,true,api
ChIJEWPLJEiaHGARyk3hH4r1xv0,"Cafe&Noodle あんじゅ+2","日本、〒395-0001 長野県飯田市座光寺５２５２−１",飯田市,飲食,35.5241499,137.8626214,0265-48-0876,https://maps.google.com/?cid=18286573310573628874,true,api
ChIJBd-t36-ZHGAR1EMn6iZwSx4,"海鮮居酒屋 はなの舞 飯田店","日本、〒395-0805 長野県飯田市鼎一色４６−３",飯田市,飲食,35.5039429,137.8117704,0265-23-7018,https://maps.google.com/?cid=2182961756830647252,true,api
ChIJKYM2pUuYHGAR5l0wsov85Dw,"手塚","日本、〒395-0152 長野県飯田市育良町１丁目１８−５",飯田市,飲食,35.50517809999999,137.8001607,0265-25-8982,https://maps.google.com/?cid=4387909613885873638,true,api
